artist,album,release_date,track_name,track_number,duration_ms
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,"A ""DC"" Christmas Medley",5,239360
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Silent Night (feat. Beyoncé Knowles),6,221360
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Little Drummer Boy (feat. Solange),7,216066
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Do You Hear What I Hear? (feat. Kelly Rowland),8,227160
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,White Christmas,9,103000
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Platinum Bells,10,85000
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,O' Holy Night (feat. Michelle Williams),11,263666
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Spread a Little Love On Christmas Day,12,221133
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,This Christmas,13,218160
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Carol of the Bells a.k.a Opera of the Bells,14,274973
Destiny's Child,Survivor,2001-05-01,"Independent Women, Pt. 1",1,221626
Destiny's Child,Survivor,2001-05-01,Survivor,2,254040
Destiny's Child,Survivor,2001-05-01,Bootylicious,3,207733
Destiny's Child,Survivor,2001-05-01,Nasty Girl,4,257826
Destiny's Child,Survivor,2001-05-01,Fancy,5,252973
Destiny's Child,Survivor,2001-05-01,Apple Pie À La Mode,6,178533
Destiny's Child,Survivor,2001-05-01,Sexy Daddy,7,246826
Destiny's Child,Survivor,2001-05-01,Perfect Man,8,221840
Destiny's Child,Survivor,2001-05-01,Independent Women Pt. II,9,225933
Destiny's Child,Survivor,2001-05-01,Happy Face,10,259866
Destiny's Child,Survivor,2001-05-01,Dance With Me,11,223960
Destiny's Child,Survivor,2001-05-01,My Heart Still Beats - Featuring Beyoncé,12,248106
Destiny's Child,Survivor,2001-05-01,Emotion,13,236400
Destiny's Child,Survivor,2001-05-01,Brown Eyes,14,276093
Destiny's Child,Survivor,2001-05-01,Dangerously In Love,15,306306
Destiny's Child,Survivor,2001-05-01,The Story Of Beauty,16,210200
