artist,album,release_date,track_name,track_number,duration_ms,duration_minutes,release_year
Destiny's Child,The Writing's On The Wall,1999-07-27,Sweet Sixteen,15,252733,4.21,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Outro (Amazing Grace...dedicated to Andretta Tillman),16,158426,2.64,1999.0
Destiny's Child,Destiny's Child,1998-02-17,Second Nature,1,308400,5.14,1998.0
Destiny's Child,Destiny's Child,1998-02-17,"No, No, No Pt. 2 (feat. Wyclef Jean)",2,207466,3.46,1998.0
Destiny's Child,Destiny's Child,1998-02-17,With Me Part I,3,206733,3.45,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Tell Me,4,288066,4.8,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Bridges,5,241840,4.03,1998.0
Destiny's Child,Destiny's Child,1998-02-17,"No, No, No, Pt. 1",6,247040,4.12,1998.0
Destiny's Child,Destiny's Child,1998-02-17,With Me Part II (featuring Master P),7,254333,4.24,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Show Me The Way,8,257666,4.29,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Killing Time,9,307160,5.12,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Illusion,10,231373,3.86,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Birthday,11,314800,5.25,1998.0
Destiny's Child,Destiny's Child,1998-02-17,Sail On,12,243706,4.06,1998.0
Destiny's Child,Destiny's Child,1998-02-17,My Time Has Come (Dedicated To Andretta Tillman),13,263106,4.39,1998.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Intro,1,46883,0.78,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Yeah! (feat. Lil Jon & Ludacris),2,250182,4.17,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Throwback (feat. Jadakiss),3,287111,4.79,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Confessions,4,260625,4.34,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Confessions Part II,5,211023,3.52,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Burn,6,231933,3.87,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Caught Up,7,224814,3.75,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar - Interlude,8,64684,1.08,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar,9,191340,3.19,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Truth Hurts,10,218073,3.63,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Simple Things,11,280403,4.67,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Bad Girl,12,261861,4.36,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,That's What It's Made For,13,277828,4.63,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Can U Handle It?,14,279360,4.66,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Do It To Me,15,213932,3.57,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Take Your Hand,16,165667,2.76,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Follow Me,17,193553,3.23,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,My Boo,18,223219,3.72,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Red Light,19,288517,4.81,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Seduction,20,273508,4.56,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,"Confessions Part II Remix (feat. Shyne, Twista & Kanye West)",21,268933,4.48,2024.0
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar - Orchestral Mix,22,206797,3.45,2024.0
